word,shift
正太,0.908707
鲁豫,0.872116
猛击,0.856587
福利社,0.841725
不快,0.816481
吕田,0.815869
龃龉,0.811162
大平,0.794094
唐克,0.791540
尼玛,0.787460
和会,0.778882
彭青,0.778427
卡特,0.769327
里庄,0.769257
双月,0.767997
整起,0.767882
三友,0.765247
天立,0.763779
多利,0.762810
新立,0.762002
赵为民,0.761195
殿下,0.759590
骨肉相连,0.757719
万隆,0.755805
苗圃,0.754300
思南,0.753576
王兵,0.750606
五二,0.746097
猎隼,0.745141
李潇,0.743282
山王,0.742683
强推,0.742253
神通,0.738643
锦囊妙计,0.738619
罗晋,0.737890
巴拉,0.736921
大小姐,0.736597
小儿科,0.733733
金钱豹,0.733325
王威,0.732498
吴健,0.730025
采购员,0.728796
鸿福,0.725688
活学活用,0.724217
内转,0.723425
派对,0.721507
老聃,0.721390
明子,0.720786
速成,0.720398
王小川,0.720368
我团,0.717607
招招,0.715638
记实,0.715470
请听,0.713511
配电,0.713124
便当,0.713089
段长,0.711842
皮皮,0.710825
司马,0.710393
九六,0.708754
圣爱,0.707026
和缓,0.706982
鼎鼎,0.706166
翻牌,0.705986
建站,0.705245
看图,0.704297
调查团,0.703884
前清,0.703633
稍后,0.703269
同一天,0.703017
周知,0.701808
益民,0.700910
都太,0.700438
富山,0.700060
来张,0.699644
洋子,0.699329
罐头厂,0.698162
博古,0.696597
马哥,0.695476
马洪,0.695190
陈金,0.694062
而外,0.693859
心战,0.693073
发微,0.692676
建武,0.692103
鞍山,0.691971
新泰,0.691567
王志强,0.690950
互推,0.690910
图说,0.690615
闹闹,0.689994
江华,0.688516
建德,0.688474
随行人员,0.688454
神龙,0.686765
韩庄,0.686506
刘伟,0.684561
微群,0.684495
红透,0.683235
老爷,0.683139
上相,0.682775
万国,0.682206
发发,0.682108
古德,0.681500
傅军,0.680920
新闻简报,0.678078
阿哈,0.677671
晓阳,0.676436
星夜,0.676423
阿涛,0.676397
马琳,0.675109
亚龙,0.674973
陈文,0.674150
微尘,0.673454
两院,0.673249
落脚点,0.672628
吴长江,0.672015
授奖,0.671777
李建国,0.671187
写真,0.670927
白莲,0.670096
下院,0.669997
环环,0.669751
大炮,0.669488
嘉言,0.669477
詹妮弗,0.668761
木土,0.668535
克拉克,0.668492
来顶,0.668050
托尔斯,0.667709
学徒,0.667563
大华,0.667210
老根,0.666664
来去自由,0.666408
随同,0.666085
调出,0.665938
盖洛,0.665118
美华,0.664106
田中,0.663390
杜氏,0.663255
雪儿,0.663050
顾问团,0.662872
鞍钢,0.662822
高木,0.661776
刘江,0.661737
碳粉,0.661528
全福,0.660234
山崎,0.659542
策勒,0.659173
中川,0.658458
南庄,0.657853
二四,0.657750
念是,0.657632
杜尔,0.656813
张瑞,0.656564
古奇,0.654653
水法,0.654322
徐斌,0.654228
铁锋,0.653851
营地,0.653589
何洁,0.653100
李文,0.650893
杨雯,0.650551
肥羊,0.649818
张卫,0.649616
火烧,0.648456
赵煦,0.648152
新马,0.648047
永刚,0.647235
丁汀,0.646251
波夫,0.646022
马歇尔,0.645661
兴业,0.645602
陈派,0.645295
郭沫若,0.645270
地址,0.645117
渔人,0.644750
公害,0.643833
李敏,0.642834
兰博,0.642644
机工,0.642496
座机,0.642185
文林,0.641142
金口,0.640511
毛子,0.639807
乌龙,0.639494
北领地,0.639059
上回,0.638845
不得了,0.638710
刘永,0.637454
王祖,0.636690
湖南日报,0.635575
恩和,0.635551
阿五,0.635340
胡说,0.635268
房总,0.635204
先入,0.634952
爷们,0.634802
一传,0.633617
尔曼,0.633604
周鑫,0.633595
道人,0.633484
苏德,0.633365
土语,0.633264
法源,0.632392
瑞格,0.632072
大队,0.632013
换岗,0.631644
加得,0.631447
发带,0.630606
业余,0.630452
张雷,0.630069
小原,0.630034
呆若木鸡,0.629908
小贵,0.629720
富士,0.629552
电通,0.629253
小龙人,0.629243
瓦房店,0.628643
吉塔,0.628470
达旺,0.628335
天时,0.628054
阿骆,0.627773
不落,0.627328
张小文,0.627218
黄大,0.626741
小黑,0.626203
大庆,0.625598
飞马,0.625318
赤壁,0.625005
再选,0.624996
十六大,0.624351
群组,0.623521
中铁,0.623145
俘虏,0.623044
涡阳,0.622969
图克,0.622602
戴家,0.622305
口口,0.622252
性障碍,0.621818
上周末,0.621454
退伍兵,0.621437
威信,0.621362
需有,0.620960
花心,0.620834
采样,0.620390
厚生,0.620288
中德,0.620078
明发,0.619486
张林,0.619433
长沙人,0.618627
深有体会,0.618556
阿里扎,0.617958
广州队,0.617841
好运,0.617564
士林,0.617445
双喜,0.616988
精修,0.616807
出彩,0.616664
乐乐,0.616079
奖赏,0.615527
找出路,0.615292
郭子,0.615274
摘要,0.614810
不特,0.614208
抗拒,0.614078
越界,0.613637
土屋,0.613548
三千,0.613231
建材市场,0.613119
两不误,0.612905
提前完成,0.612800
小雄,0.612303
考拉,0.611675
三福,0.611417
得得,0.611255
部级,0.611146
张张,0.610839
徐先生,0.610642
加人,0.610567
排座次,0.610121
索南,0.610013
美差,0.609863
民权,0.609692
钓鱼台国宾馆,0.609635
刘英,0.609583
脑残,0.609527
布告,0.609325
贝利,0.609312
幼稚园,0.608863
老龚,0.608784
通电,0.607753
联邦,0.607430
吃粮,0.607414
张庭,0.606408
接好,0.605768
张楚,0.605450
七万,0.604995
网格,0.604545
念念不忘,0.604481
一致通过,0.604456
人中,0.603842
什邡,0.602981
火华,0.602683
大吉岭,0.602262
良好效果,0.602057
神兽,0.601865
适值,0.601151
芒果,0.601040
纠察队,0.600795
腾达,0.600520
刘兵,0.600511
新气象,0.600164
高会,0.599838
操刀,0.599793
省城,0.599728
催情,0.599642
久治,0.599254
天河,0.599076
无损,0.599054
远达,0.598737
蔡先生,0.598421
千禧,0.598051
雷米,0.598047
错误行为,0.597715
珍珍,0.597183
曾将,0.596670
河原,0.596614
无极限,0.596530
岂料,0.596068
巴库,0.595871
大食,0.595865
老头,0.595627
老窝,0.595528
求去,0.595523
闫芳,0.595076
块砖,0.594888
子良,0.594829
方成,0.594777
兴华,0.594258
杨佳,0.593999
裂变,0.593923
南风,0.593910
阳山,0.593750
同一个,0.593542
动态图,0.593315
水窖,0.593237
到顶,0.592885
穿针引线,0.592746
齐头,0.592252
混合,0.591772
新月,0.591311
白头山,0.590948
姨妈,0.590932
黑猫,0.590868
浩浩,0.590574
比利时,0.590553
陈先生,0.590470
压下来,0.590095
贺龙,0.589925
正明,0.589638
晓芳,0.589425
张龙,0.588619
治愈系,0.588464
总店,0.588395
洋葱头,0.588270
亨通,0.588008
房方,0.587887
阿斯兰,0.587748
盛典,0.586889
风灾,0.586876
美韩,0.586739
肥皂,0.586321
陆地,0.585353
谢涛,0.585261
运动健将,0.585253
牵住,0.585146
川西,0.584965
油层,0.584669
检察长,0.584573
唱主角,0.584364
两步,0.584203
泥坑,0.584034
我村,0.584012
吹鼓手,0.583777
提要,0.583749
试探性,0.583430
五马,0.583189
禁军,0.582975
农艺,0.582921
桥本,0.582864
声色,0.582805
豆包,0.582699
未完,0.582647
八十年代,0.582586
水泥厂,0.582574
此条,0.582136
紫荆花,0.582119
小农,0.582094
金融街,0.581825
扫光,0.581791
文版,0.581781
象样,0.581328
拜尔,0.581139
程然,0.581033
卡尔,0.580983
布施,0.580864
撒哈拉,0.580760
逼走,0.580728
开门,0.580274
庄公,0.580154
罗山,0.579950
哈市,0.579941
元气,0.579852
润和,0.579623
陈婷,0.579572
康威,0.579336
惟独,0.579158
再下,0.579091
年少,0.578891
内应,0.578802
不等,0.578796
恭送,0.578682
乡友,0.578379
深蓝,0.578286
钦州,0.578253
水饺,0.578178
魏国,0.577973
招纳,0.577778
张恺,0.577701
上曾,0.577668
凡人,0.577525
拉格,0.577208
所附,0.577134
德纳,0.577080
陈岚,0.576936
瓶子,0.576774
李豪,0.576744
跳过,0.576638
高昌,0.576420
裂帛,0.576110
奥林巴斯,0.576043
列成,0.575785
玛格丽特,0.575750
连城,0.575741
曼利,0.575728
呵呵,0.575649
福源,0.575587
止步,0.575540
妍妍,0.575302
刘小,0.575253
汤饭,0.575131
汉寿,0.575088
好好看,0.574996
大娘,0.574582
许广平,0.574523
你追我赶,0.574262
好友,0.574125
李舸,0.574089
误认,0.574000
详图,0.573941
配配,0.573814
赴任,0.573795
穗子,0.573537
特此,0.572939
高树,0.572770
时新,0.572753
神功,0.572656
速派,0.572033
刚刚,0.571745
前沿,0.571716
追认,0.571478
学武,0.571429
吉列,0.571324
紧绷,0.571304
王俊,0.571219
两城,0.571171
行动派,0.571152
冀东,0.570920
千真万确,0.570698
十一月,0.570626
派克,0.570621
万古,0.570601
酒会,0.570422
慰劳,0.570399
文斌,0.570373
晋京,0.569849
普通农民,0.569829
房山,0.569478
背靠背,0.569398
同是,0.569378
少年,0.569376
空白,0.569130
温先生,0.569027
建功立业,0.568989
大鸭梨,0.568779
杨树,0.568747
九位,0.568360
数人,0.568050
缴械,0.567897
杨云龙,0.567719
追风,0.567658
换购,0.567607
小火,0.567519
国美,0.567012
俺家,0.566989
师部,0.566576
陈小妹,0.566506
蒋志刚,0.566386
火鸟,0.566289
国能,0.566231
官兵们,0.566204
巴丹,0.566079
周文,0.565974
搞上去,0.565969
天涯咫尺,0.565847
在讲话中,0.565748
王泽,0.565657
海底捞,0.565635
别动队,0.565616
混乱状态,0.565490
师团,0.565472
金碗,0.565137
林山,0.565106
溧阳,0.565069
多者,0.564905
重机,0.564752
柬埔寨人,0.564749
李皓,0.564577
以弱胜强,0.564135
赛尔,0.563906
倒时差,0.563825
李清,0.563635
外网,0.563616
心服,0.563600
四人帮,0.563395
木拉,0.563358
王辉,0.562973
七寸,0.562913
九龙杯,0.562494
假若,0.562449
参与,0.562416
百尺竿头更进一步,0.562368
糖果,0.562364
二千五百,0.562277
屏蔽,0.562060
欢迎会,0.561995
劳动报,0.561700
李云迪,0.561552
姜先生,0.561540
前晚,0.561344
白天黑夜,0.561081
疯狂,0.561069
所存,0.561020
日惹,0.561012
早些,0.560814
咸宁市,0.560744
一昼夜,0.560699
护航,0.560645
人代会,0.560585
袁华,0.560544
杨明华,0.560505
金边,0.560148
穿山甲,0.560122
黑白,0.560104
全体人员,0.559898
叶群,0.559688
贝卡,0.559644
拼图,0.559512
罗川,0.559386
之和,0.558907
老猪,0.558899
选车,0.558878
可发,0.558853
艾敬,0.558664
三八节,0.558650
北京,0.558557
周华,0.558147
连续不断,0.557790
东厂,0.557600
教育法,0.557247
吉姆,0.557139
舌尖,0.557024
欢迎,0.557022
金莲,0.556954
宜于,0.556860
四万,0.556825
里来,0.556745
暴力团,0.556404
杨建国,0.556318
冰糖,0.556207
七三,0.555974
集体,0.555817
看错,0.555580
修复,0.555485
较紧,0.555144
速胜,0.554935
老东家,0.554823
个体户,0.554489
划给,0.554404
李安,0.554280
才大,0.554073
石楠,0.553433
来看,0.553245
还装,0.552964
农场,0.552958
套餐,0.552832
同步进行,0.552691
归入,0.552672
招工,0.552615
小集团,0.552231
拒绝,0.552174
开花,0.552104
观礼,0.551876
林青山,0.551799
长期保持,0.551318
胡萝卜,0.551241
黑泽,0.551028
名扬,0.550985
中华,0.550779
羊和,0.550685
西冲,0.550620
生物制品,0.550599
直扑,0.550585
志达,0.550249
亿万,0.550155
生产者,0.550026
泽林,0.549774
雷刚,0.549673
垂涎三尺,0.549589
贼船,0.549510
东北亚,0.549323
求爱,0.549129
搭上,0.548948
流浪者,0.548671
自满,0.548660
贺喜,0.548544
下片,0.548510
埃菲尔,0.548347
向王,0.548028
都未,0.547493
检察官,0.547409
影视界,0.547311
双燕,0.547204
泥巴,0.547182
表白,0.547061
主打,0.547032
十三,0.546995
时有,0.546948
潮白河,0.546814
独立,0.546772
泥浆,0.546547
子游,0.546501
专利,0.546323
沼气,0.546033
义利,0.545962
春茶,0.545923
迁坟,0.545827
西一,0.545816
不象,0.545743
迎春,0.545613
消声,0.545582
电工,0.545491
现时,0.545416
河北省张家口,0.545397
神曲,0.545358
灵璧,0.545350
刘奇葆,0.545321
长于,0.545253
加图,0.544926
百份,0.544857
风正,0.544755
呆呆,0.544703
下有,0.544647
孙宇,0.544477
锦上添花,0.544325
经济特区,0.544298
巴方,0.544273
镇江,0.544089
大庆市,0.544086
总负责人,0.544023
暗影,0.543860
国宾,0.543842
日喀则地区,0.543792
陈老师,0.543492
录象,0.543441
结缘,0.543355
南工,0.542957
迎上,0.542865
刘楠,0.542745
鹊桥,0.542627
物质条件,0.542455
阿加莎,0.542378
当周,0.542352
车夫,0.542132
可算,0.541714
高松,0.541607
克里,0.541148
小庄,0.540902
代班,0.540757
街车,0.540753
积存,0.540582
越飞,0.540489
天桥,0.540484
要闹,0.540070
献身,0.539889
招募,0.539628
李春明,0.539593
红棉,0.539327
郭静,0.539075
蛇仙,0.539031
所办,0.538998
李坤,0.538905
元亨,0.538831
过渡性,0.538661
西苑,0.538635
以法,0.538572
失落,0.538393
额外收费,0.538302
女队员,0.538264
童颜,0.538213
杨琳,0.538169
即行,0.538161
从政,0.537929
精打细算,0.537900
箱形,0.537695
异地,0.537497
乌拉,0.537487
胡克,0.537035
小勇,0.536977
大势,0.536957
对数,0.536951
沾光,0.536519
难以完成,0.536354
国税局,0.536273
投放,0.536262
货价,0.536118
原阳,0.536111
赵大叔,0.535925
绍兴县,0.535801
民工,0.535634
到户,0.535504
北京天安门广场,0.535144
受到限制,0.535111
劲头十足,0.535086
澳大利亚人,0.535042
来试,0.535032
勤工俭学,0.534871
战士,0.534856
视察,0.534743
运河,0.534716
洋中,0.534707
壳牌,0.534703
顾虑重重,0.534495
马强,0.534489
抹茶,0.534377
港产,0.534256
恐惧症,0.534161
好办,0.533622
历害,0.533460
石嘴山市,0.533369
村委会,0.533342
鸦片,0.533286
中上层,0.533240
有点烦,0.533085
二两,0.533020
不拿,0.532977
沉下去,0.532973
渴求,0.532852
转回,0.532744
龙大,0.532670
负责制,0.532619
晚生,0.532573
斯帕,0.532455
献出,0.532439
竹溪,0.532277
朱斌,0.532256
河南省军区,0.531972
水塔,0.531820
二流,0.531772
碎语,0.531754
南国,0.531713
心动,0.531690
江静,0.531519
自小,0.531514
自始至终,0.531283
伊春市,0.531280
郝敏,0.530788
空下来,0.530780
再入,0.530627
奶牛场,0.530457
不如,0.530438
浦口,0.530299
赵龙,0.530189
公论,0.530163
寻欢,0.530026
党刊,0.530008
硬货,0.529923
家口,0.529826
给以,0.529407
吴松,0.529236
滑动,0.529190
武校,0.529091
飘然,0.529088
晓磊,0.529030
广兴,0.528985
整装,0.528662
吃早餐,0.528615
份内,0.528600
鲜明对比,0.528360
日落,0.528354
一叶知秋,0.528307
求好,0.528270
发展中心,0.528176
初夏,0.528148
九代,0.528131
分之三,0.527872
开有,0.527744
鄱阳县,0.527593
无花果,0.527415
全运,0.527385
参议院,0.527384
后边,0.527247
海马,0.527147
张朋,0.527065
范冰冰,0.527046
英方,0.527045
贝家,0.526960
崇安,0.526696
原形,0.526420
鲁宾逊,0.526380
芽庄,0.526250
愿去,0.526116
自建,0.526108
花柳,0.526087
全套,0.526017
乱七八糟,0.526002
散乱,0.525975
裨益,0.525883
兰卡,0.525674
戴平,0.525654
减压,0.525647
断层,0.525638
玩火,0.525568
现代,0.525442
砸碎,0.525279
河畔,0.525200
明后年,0.525095
精准,0.525063
天目,0.524977
王宝强,0.524791
加快速度,0.524712
苏文,0.524501
萨摩,0.524488
鲍恩,0.524457
王珏,0.524271
澳政府,0.524025
兵站,0.523835
宽大,0.523722
我们,0.523699
大红包,0.523553
现如今,0.523496
关键人物,0.523385
秋至,0.522953
迁就,0.522758
深得民心,0.522636
张晓理,0.522445
水钻,0.522432
城寨,0.522402
归还,0.522338
举行仪式,0.522173
象棋,0.522081
湘军,0.522033
锦里,0.521897
向东,0.521570
症候群,0.521545
分利,0.521389
头里,0.521220
派到,0.521104
开先,0.521102
沙丘,0.521042
朗格,0.521038
会后,0.520999
名牌产品,0.520951
盛夏,0.520906
绝交,0.520824
铜锁,0.520786
编到,0.520775
安全区,0.520557
李和平,0.520379
高雄港,0.520160
充分体现,0.519883
电子机械,0.519859
谈论着,0.519811
撮合,0.519754
选入,0.519727
夹心,0.519554
深圳市委,0.519487
自由发挥,0.519450
沙田,0.519441
邢台市,0.519420
金泰,0.519407
革命性,0.519356
左右为难,0.519253
正像,0.519100
王主任,0.519091
大典,0.519011
初显,0.518978
近百年来,0.518708
副总,0.518695
滥发,0.518628
伙子,0.518528
明察暗访,0.518487
纳税人,0.518443
少之又少,0.518442
张雨,0.518397
罢工,0.518358
银针,0.518220
大部,0.518165
金佛,0.518162
举步维艰,0.518101
残存,0.518039
北汉,0.517809
造反派,0.517713
曹欣,0.517407
海德拉巴,0.517305
加多宝,0.517223
不言,0.517203
询价,0.517135
大吃一惊,0.516906
定级,0.516775
世博园,0.516679
张乐,0.516562
党的政策,0.516538
威风,0.516468
蓝岛,0.516459
外交部,0.516415
华龙,0.516238
电波,0.516191
罗那,0.516043
人民政府,0.515929
低保户,0.515853
自定,0.515803
地委,0.515776
微机,0.515670
台港澳,0.515668
姜洋,0.515657
脱单,0.515625
包下,0.515553
新任务,0.515548
祖国统一,0.515524
小邓,0.515368
果业,0.515263
王老吉,0.515254
房中,0.515085
兆头,0.515034
才看,0.514883
心事,0.514874
毒辣,0.514859
在任,0.514755
塔尼,0.514748
力推,0.514639
张艺,0.514471
鸟市,0.514470
前一阵子,0.514428
美英,0.514384
少有,0.514365
郭某某,0.514294
推杆,0.514190
焰火,0.513998
混血,0.513978
具体操作,0.513921
绿谷,0.513858
尼加拉瓜,0.513842
全以,0.513657
巨眼,0.513566
思想解放,0.513514
可别,0.513461
舍尔,0.513343
苏步青,0.513255
应许,0.513254
小侯,0.513157
路畅,0.513147
分家,0.513014
符号,0.512962
中藏,0.512724
整风,0.512709
畅销,0.512698
时态,0.512681
录影,0.512641
肃清,0.512634
大肆宣传,0.512265
初选,0.512098
小毛,0.512072
农转非,0.512033
卡罗琳,0.511954
就位,0.511678
王二,0.511674
苏醒,0.511669
价值,0.511561
褚橙,0.511555
爱新,0.511537
领导小组,0.511524
布拉特,0.511494
昭昭,0.511398
人道,0.511320
蓝宝,0.511233
诊疗室,0.511168
特区政府,0.511042
不可动摇,0.511019
昌黎县,0.510970
昆明百货大楼,0.510895
横路,0.510801
产经,0.510769
坐地,0.510768
上钩,0.510719
价低,0.510444
名为,0.510364
神枪,0.510361
从此,0.510285
十八大,0.509997
光明日报,0.509622
北江,0.509538
大肚,0.509271
左边,0.509229
五芳斋,0.509009
教学中心,0.508939
扬眉吐气,0.508411
街头巷尾,0.508353
洱海,0.508328
油菜,0.508228
闻鸡起舞,0.508100
托塔,0.508063
药业,0.508052
人民战争,0.508047
新航,0.507853
伯尔尼,0.507843
如有,0.507814
茅以升,0.507736
海南岛,0.507711
马君,0.507536
深表遗憾,0.507519
追授,0.507440
中方,0.507361
韩超,0.507240
学工,0.507175
八项注意,0.506853
看有,0.506635
麦克阿瑟,0.506449
防腐,0.506405
大亨,0.506308
焕彩,0.506218
延续下去,0.506082
长上,0.506078
复生,0.506001
一举成名,0.505924
严打,0.505905
洪光,0.505865
徐宏,0.505858
达菲,0.505821
都起,0.505719
从头至尾,0.505705
红塔集团,0.505691
官方论坛,0.505519
游水,0.505298
图志,0.505296
引出,0.505253
投到,0.504746
鸟巢,0.504659
令公,0.504546
纪念刊,0.504391
洗心,0.504385
通网,0.504296
勤快,0.504192
乳酪,0.504187
自备,0.504143
仁青,0.504141
忠县,0.504108
美华人,0.503997
不管,0.503956
入市,0.503937
大赦,0.503853
强迫,0.503696
宋玉,0.503601
王院,0.503553
郭威,0.503391
梁原,0.503291
凑出,0.503284
沙威,0.503200
蔡教授,0.503121
营商,0.503101
年近,0.503100
黑娃,0.502879
程序和,0.502838
交出来,0.502823
懒得,0.502811
中央银行,0.502697
万寿无疆,0.502678
减掉,0.502599
何炅,0.502590
香港地区,0.502584
宣誓,0.502567
华东地区,0.502460
旺加,0.502206
贾夫纳,0.501808
舱房,0.501673
空间,0.501586
前几日,0.501558
山乡,0.501525
陈小姐,0.501440
步调,0.501417
徐星,0.501334
胜似,0.501239
跃过,0.501113
南阳市,0.501042
旧习,0.500951
别墅区,0.500738
城关区,0.500662
朱青,0.500606
风水,0.500500
跨海大桥,0.500488
远郊,0.500466
陆运,0.500453
举旗,0.500440
暮光,0.500372
漏斗,0.500338
极端,0.500272
高智,0.500224
零星,0.500133
塞尔,0.500120
不惜代价,0.500095
大师兄,0.499986
周初,0.499907
卖钱,0.499897
齿科,0.499868
都是非,0.499685
管理学院,0.499572
骨干,0.499496
盼望着,0.499417
富平县,0.499413
脱力,0.499410
李台,0.499359
牛虻,0.499337
牛蹄,0.499237
攫取,0.499063
春色满园,0.499058
影音,0.498897
无声,0.498880
刚要,0.498800
面谈,0.498632
听涛,0.498584
劳务,0.498566
包场,0.498340
大定,0.498312
空想,0.498231
院团,0.498202
欧莱雅,0.498107
月夜,0.498089
吹吹,0.498084
媒体中心,0.498036
月老,0.497659
洗脸,0.497416
口头,0.497414
夕阳西下,0.497402
百货业,0.497329
渭源,0.497218
天仙,0.497149
精品,0.497026
子乔,0.496986
借口,0.496958
宋强,0.496742
唐宁街,0.496092
重于,0.495878
刘俊杰,0.495825
殊途同归,0.495728
酒局,0.495601
出奇,0.495543
均安,0.495519
避险,0.495452
全家福,0.495401
每周五,0.495238
陈世杰,0.495173
高昂,0.494717
顾青,0.494607
人心涣散,0.494516
沟渠,0.494367
重新分配,0.494316
队会,0.494307
粗暴,0.494268
难以确定,0.494257
责任重大,0.494240
中资,0.494221
原形毕露,0.494193
请假,0.494152
地下党,0.494053
李烨,0.494049
无愧,0.493975
张成,0.493941
比较落后,0.493903
会分,0.493802
和平饭店,0.493449
保定,0.493230
乌龟,0.492990
修正主义,0.492985
去年今天,0.492920
所要,0.492798
春笋,0.492702
杨山,0.492490
分居,0.492312
惟有,0.492290
棋迷,0.492269
配眼镜,0.492252
任君,0.492203
积满灰尘,0.492107
平凉市,0.492093
最全,0.492078
水煮,0.491973
缘份,0.491840
蛰居,0.491790
铁皮,0.491751
话锋一转,0.491716
新场,0.491687
自认,0.491520
头顶,0.491462
乌鲁木齐市,0.491454
华仔,0.491240
飞快,0.491173
不须,0.490998
余辉,0.490928
共荣圈,0.490911
分过,0.490868
传阅,0.490785
着色,0.490784
蜂场,0.490617
贝母,0.490567
嘎啦,0.490516
所有制,0.490481
娱乐中心,0.490400
香柚,0.490262
欧盟委员会,0.490131
餐饮公司,0.490126
梯队,0.490061
酒场,0.489881
瞄准,0.489837
国粹,0.489752
通缉,0.489743
中泽,0.489703
调性,0.489696
放飞,0.489537
初步统计,0.489515
一辈子,0.489455
门巴,0.489410
搞成,0.489392
合围,0.489371
新彩,0.489150
贴地,0.489115
复杂化,0.489091
敏感时期,0.489027
瓦砾,0.488905
蓝天,0.488780
服务站,0.488595
撑腰,0.488584
必要性,0.488446
从零开始,0.488299
脉搏,0.488293
孙博,0.488284
木鱼镇,0.488276
上路,0.488233
小商,0.488230
草滩,0.488200
